name,link,lyrics,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
The Story Of Us,https://www.youtube.com/watch?v=nN6VR92V70M,"I used to think one day we'd tell the story of us
How we met and the sparks flew instantly
And people would say, ""They're the lucky ones.""
I used to know my place was the spot next to you
Now I'm searching the room for an empty seat
'Cause lately I don't even know what page you're on

Oh, a simple complication
Miscommunications lead to fall-out
So many things that I wish you knew
So many walls up I can't break through

Now I'm standing alone in a crowded room and we're not speaking
And I'm dying to know is it killing you like it's killing me, yeah?
I don't know what to say, since the twist of fate when it all broke down
And the story of us looks a lot like a tragedy now

Next chapter

How'd we end up this way?
See me nervously pulling at my clothes and trying to look busy
And you're doing your best to avoid me
I'm starting to think one day I'll tell the story of us
How I was losing my mind when I saw you here
But you held your pride like you should've held me

Oh, I'm scared to see the ending
Why are we pretending this is nothing?
I'd tell you I miss you but I don't know how
I've never heard silence quite this loud

Now I'm standing alone in a crowded room and we're not speaking
And I'm dying to know is it killing you like it's killing me, yeah?
I don't know what to say, since the twist of fate when it all broke down
And the story of us looks a lot like a tragedy now

This is looking like a contest
Of who can act like they care less
But I liked it better when you were on my side

The battle's in your hands now
But I would lay my armour down
If you said you'd rather love than fight

So many things that you wish I knew
But the story of us might be ending soon

Now I'm standing alone in a crowded room and we're not speaking
And I'm dying to know is it killing you like it's killing me, yeah?
But I don't know what to say, since the twist of fate when it all broke down
And the story of us looks a lot like a tragedy now, now, now

...and we're not speaking
And I'm dying to know is it killing you like it's killing me, yeah?
I don't know what to say, since the twist of fate 'cause we're going down
And the story of us looks a lot like a tragedy now

The end",Speak Now (Deluxe Package),Taylor Swift,2010-01-01,266480,59,0.546,0.00487,0.809,0.000372,0.0437,-3.621,0.041,0.649,139.91
State Of Grace,https://www.youtube.com/watch?v=-mrC5tRkxrY,"I'm walking fast through the traffic lights
Busy streets and busy lives
And all we know
Is touch and go

We are alone with our changing minds
We fall in love 'til it hurts or bleeds or fades in time

And I never (never) saw you coming
And I'll never (never) be the same

You come around and the armor falls
Pierce the room like a cannonball
Now all we know
Is don't let go

We are alone, just you and me
Up in your room and our slates are clean
Just twin fire signs
Four blue eyes

So you were never a saint
And I've loved in shades of wrong
We learn to live with the pain
Mosaic broken hearts
But this love is brave and wild

And I never (never) saw you coming
And I'll never (never) be the same

This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right

These are the hands of fate
You're my Achilles' heel
This is the golden age of something good and right and real

And I never (never) saw you coming
And I'll never (never) be the same

And I never (never) saw you coming
And I'll never
(So you were never a saint
I've loved in shades of wrong)
Be the same
(We learn to live with the pain
Mosaic broken hearts
But this love is brave and wild)

This is a state of grace
This is the worthwhile fight
Love is a ruthless game
Unless you play it good and right",Red (Deluxe Edition),Taylor Swift,2012-10-22,295720,62,0.588,0.000197,0.825,0.00138,0.0884,-5.882,0.0328,0.397,129.968
Red,https://www.youtube.com/watch?v=R_rUYuFtNO4,"Loving him is like driving a new Maserati down a dead-end street
Faster than the wind, passionate as sin, ending so suddenly
Loving him is like trying to change your mind once you're already flying through the free fall
Like the colors in autumn, so bright just before they lose it all

Losing him was blue like I'd never known
Missing him was dark grey all alone
Forgetting him was like trying to know somebody you never met
But loving him was red

(Red, red)
(Red, red)
Loving him was red
(Red, red)
(Red, red)

Touching him was like realizing all you ever wanted was right there in front of you
Memorizing him was as easy as knowing all the words to your old favorite song
Fighting with him was like trying to solve a crossword and realizing there's no right answer
Regretting him was like wishing you never found out that love could be that strong

Losing him was blue like I'd never known
Missing him was dark grey all alone (whoa)
Forgetting him was like trying to know somebody you never met
But loving him was red
(Red, red)
Oh, red
(Red, red)
Burning red
(Red, red)
(Red, red)

Remembering him comes in flashbacks and echoes
Tell myself it's time now, gotta let go
But moving on from him is impossible
When I still see it all in my head
In burning red
Burning, it was red

Oh, losing him was blue like I'd never known
Missing him was dark grey all alone (whoa)
Forgetting him was like trying to know somebody you never met
'Cause loving him was red
(Red, red)
Yeah, yeah, red
(Red, red)
We're burning red
(Red, red)
(Red, red)

And that's why he's spinnin' 'round in my head
(Red, red)
Comes back to me, burning red
(Red, red)
(Red, red)
Yeah, yeah
(Red, red)

His love was like driving a new Maserati down a dead-end street",Red (Deluxe Edition),Taylor Swift,2012-10-22,223093,66,0.602,0.0773,0.896,8.87E-05,0.0911,-4.267,0.0437,0.641,124.978
Treacherous,https://www.youtube.com/watch?v=OE2RVmaioAo,"Put your lips close to mine
As long as they don't touch
Out of focus, eye to eye
'Til the gravity's too much
And I'll do anything you say
If you say it with your hands
And I'd be smart to walk away
But you're quicksand

This slope is treacherous
This path is reckless
This slope is treacherous
And I, I, I like it

I can't decide if it's a choice
Getting swept away
I hear the sound of my own voice
Asking you to stay
And all we are is skin and bone
Trained to get along
Forever going with the flow
But you're friction

This slope is treacherous
This path is reckless
This slope is treacherous
I, I, I like it

Two headlights shine through the sleepless night
And I will get you a—get you alone
Your name has echoed through my mind
And I just think you should, think you should know
That nothing safe is worth the drive
And I would follow you, follow you home
I'll follow you, follow you home

This hope is treacherous
This daydream is dangerous
This hope is treacherous
I, I, I... I, I, I... I, I, I

Two headlights shine through the sleepless night
And I will get you, I'll get you alone
Your name has echoed through my mind
And I just think you should, think you should know
That nothing safe is worth the drive
And I would follow you, follow you home
I'll follow you, follow you home
I'll follow you, follow you home
I'll follow you, follow you home

This slope is treacherous
I, I, I like it",Red (Deluxe Edition),Taylor Swift,2012-10-22,242760,61,0.704,0.101,0.621,4.30E-06,0.14,-8.086,0.0334,0.395,109.995
I Knew You Were Trouble.,https://www.youtube.com/watch?v=vNoKguSdy4Y,"Once upon a time, a few mistakes ago
I was in your sights, you got me alone
You found me, you found me, you found me
I guess you didn't care, and I guess I liked that
And when I fell hard you took a step back
Without me, without me, without me

And he's long gone when he's next to me
And I realize the blame is on me

'Cause I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
Now I'm lying on the cold hard ground
Oh, oh, trouble, trouble, trouble
Oh, oh, trouble, trouble, trouble

No apologies. He'll never see you cry
Pretends he doesn't know that he's the reason why
You're drowning, you're drowning, you're drowning
Now I heard you moved on from whispers on the street
A new notch in your belt is all I'll ever be
And now I see, now I see, now I see

He was long gone when he met me
And I realize the joke is on me, hey!

I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been (yeah)
Now I'm lying on the cold hard ground
Oh, oh, trouble, trouble, trouble
Oh, oh, trouble, trouble, trouble

And the saddest fear comes creeping in
That you never loved me or her, or anyone, or anything, yeah

I knew you were trouble when you walked in
So shame on me now
Flew me to places I'd never been (Never been)
'Til you put me down, oh
I knew you were trouble when you walked in (Knew it right there)
So shame on me now (Knew it right there)
Flew me to places I'd never been (Ooh)
Now I'm lying on the cold hard ground
Oh, oh, trouble, trouble, trouble
Oh, oh, trouble, trouble, trouble

I knew you were trouble when you walked in
Trouble, trouble, trouble
I knew you were trouble when you walked in
Trouble, trouble, trouble",Red (Deluxe Edition),Taylor Swift,2012-10-22,219720,65,0.622,0.00454,0.469,2.25E-06,0.0335,-6.798,0.0363,0.679,77.019
All Too Well,https://www.youtube.com/watch?v=9OQBDdNHmXo,"I walked through the door with you, the air was cold
But something 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer even now

Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost Upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days

And I know it's long gone
And that magic's not here no more
And I might be okay
But I'm not fine at all

'Cause there we are again on that little town street
You almost ran the red 'cause you were looking over at me
Wind in my hair, I was there, I remember it all too well

Photo album on the counter, your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on a tee-ball team
You tell me 'bout your past, thinking your future was me

And I know it's long gone
And there was nothing else I could do
And I forget about you long enough
To forget why I needed to

'Cause there we are again in the middle of the night
We're dancing 'round the kitchen in the refrigerator light
Down the stairs, I was there, I remember it all too well, yeah

Maybe we got lost in translation, maybe I asked for too much
But maybe this thing was a masterpiece 'til you tore it all up
Running scared, I was there, I remember it all too well

And you call me up again just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all... too well

Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone

But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it 'cause you remember it all too well, yeah

'Cause there we are again, when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there, I remember it all too well

Wind in my hair, you were there, you remember it all
Down the stairs, you were there, you remember it all
It was rare, I was there, I remember it all too well",Red (Deluxe Edition),Taylor Swift,2012-10-22,329160,72,0.602,0.0382,0.609,0.0002,0.128,-7.803,0.0243,0.337,93.06
22,https://www.youtube.com/watch?v=AgFeZr5ptV8,"It feels like a perfect night to dress up like hipsters
And make fun of our exes, uh uh, uh uh
It feels like a perfect night for breakfast at midnight
To fall in love with strangers, uh uh, uh uh

Yeah
We're happy, free, confused, and lonely at the same time
It's miserable and magical
Oh, yeah
Tonight's the night when we forget about the deadlines
It's time

Uh oh!
I don't know about you
But I'm feeling 22
Everything will be alright
If you keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright
If we just keep dancing like we're
22, ooh-ooh
22, ooh-ooh

It seems like one of those nights
This place is too crowded
Too many cool kids, uh uh, uh uh (who's Taylor Swift anyway, ew?)
It seems like one of those nights
We ditch the whole scene and end up dreaming
Instead of sleeping

Yeah
We're happy, free, confused, and lonely in the best way
It's miserable and magical
Oh, yeah
Tonight's the night when we forget about the heartbreaks
It's time

Uh oh! (hey!)
I don't know about you
But I'm feeling 22
Everything will be alright
If you keep me next to you
You don't know about me
But I'll bet you want to
Everything will be alright (alright)
If we just keep dancing like we're
22, ooh-ooh (oh, oh, oh)
22, ooh-ooh
I don't know about you
22, ooh-ooh
22, ooh-ooh

It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleeping
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you

Ooh-ooh
Ooh-ooh, ye-e-e-e-eah, hey
I don't know about you (I don't know about you)
But I'm feeling 22
Everything will be alright
If you keep me next to you
You don't know about me (you don't know about me)
But I'll bet you want to
Everything will be alright
If we just keep dancing like we're
22, ooh-ooh (oh – whoa)
22, ooh-ooh (dancing like)
22, ooh-ooh, yeah, yeah
22, ooh-ooh, yeah, yeah, yeah

It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleeping
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you",Red (Deluxe Edition),Taylor Swift,2012-10-22,232120,64,0.661,0.00215,0.729,0.0013,0.0477,-6.561,0.0376,0.668,103.987
I Almost Do,https://www.youtube.com/watch?v=w1AV_35zVwU,"I bet this time of night you're still up
I bet you're tired from a long hard week
I bet you're sitting in your chair by the window looking out at the city
And I bet sometimes you wonder about me

And I just wanna tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that every time I don't
I almost do
I almost do

I bet you think I either moved on or hate you
'Cause each time you reach out there's no reply
I bet it never ever occurred to you that I can't say ""Hello"" to you
And risk another goodbye

And I just wanna tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that every time I don't
I almost do
I almost do

Oh, we made quite a mess, babe
It's probably better off this way
And I confess, babe
In my dreams you're touching my face
And asking me if I wanna try again with you
And I almost do

And I just wanna tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that every time I don't
I almost do
I almost do

I bet this time of night you're still up
I bet you're tired from a long hard week
I bet you're sitting in your chair by the window looking out at the city
And I hope sometimes you wonder about me",Red (Deluxe Edition),Taylor Swift,2012-10-22,244560,61,0.567,0.0173,0.481,4.13E-05,0.182,-7.357,0.027,0.233,145.865
We Are Never Ever Getting Back Together,https://www.youtube.com/watch?v=WA4iX5D9Z64,"I remember when we broke up the first time
Saying, ""This is it, I've had enough,"" 'cause like
We hadn't seen each other in a month
When you said you needed space. (What?)
Then you come around again and say
""Baby, I miss you and I swear I'm gonna change, trust me.""
Remember how that lasted for a day?
I say, ""I hate you,"" we break up, you call me, ""I love you.""

Ooh, we called it off again last night
But ooh, this time I'm telling you, I'm telling you

We are never ever ever getting back together
We are never ever ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never ever ever ever getting back together

Like, ever

I'm really gonna miss you picking fights
And me falling for it screaming that I'm right
And you would hide away and find your peace of mind
With some indie record that's much cooler than mine

Ooh, you called me up again tonight
But ooh, this time I'm telling you, I'm telling you

We are never, ever, ever getting back together
We are never, ever, ever getting back together
You go talk to your friends, talk to my friends, talk to me (talk to me)
But we are never ever ever ever getting back together

Ooh, yeah, ooh yeah, ooh yeah
Oh oh oh

I used to think that we were forever ever
And I used to say, ""Never say never...""
Uggg... so he calls me up and he's like, ""I still love you,""
And I'm like... ""I just... I mean this is exhausting, you know, like
We are never getting back together. Like, ever""

No!

We are never ever ever getting back together
We are never ever ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never ever ever ever getting back together

We, ooh, getting back together, ohhh
We, ooh, getting back together

You go talk to your friends, talk to my friends, talk to me (talk to me)
But we are never ever ever ever getting back together",Red (Deluxe Edition),Taylor Swift,2012-10-22,193146,65,0.628,0.00957,0.676,2.65E-05,0.121,-5.911,0.0916,0.75,85.984
Stay Stay Stay,https://www.youtube.com/watch?v=OhJ-S9Nrh7Q,"I'm pretty sure we almost broke up last night
I threw my phone across the room at you
I was expecting some dramatic turn-away
But you stayed

This morning I said we should talk about it
'Cause I read you should never leave a fight unresolved
That's when you came in wearing a football helmet and said, ""Okay, let's talk.""

And I said
Stay, stay, stay
I've been lovin' you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay

Before you I'd only dated self-indulgent takers
Who took all of their problems out on me
But you carry my groceries, and now I'm always laughin'
And I love you because you have given me no choice but to

Stay, stay, stay
I've been lovin' you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay, stay, stay, stay

You took the time to memorize me:
My fears, my hopes, and dreams
I just like hangin' out with you all the time
All those times that you didn't leave
It's been occurring to me I'd like to hang out with you for my whole life

Stay
And I'll be loving you for quite some time
No one else is gonna love me, when I get mad, mad, mad
So I think that it's best if we both stay, stay, stay, stay, stay, stay

Stay, stay, stay
I've been lovin' you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay, stay, stay, stay, stay, stay

Stay, stay, stay
I've been lovin' you for quite some time, time, time
You think that it's funny when I'm mad, mad, mad
But I think that it's best if we both stay

That's so fun!",Red (Deluxe Edition),Taylor Swift,2012-10-22,205853,60,0.729,0.307,0.748,1.29E-06,0.0962,-6.67,0.0245,0.928,99.981
The Last Time,https://www.youtube.com/watch?v=pCH4QrSx2Jg,"I find myself at your door
Just like all those times before
I'm not sure how I got there
All roads—they lead me here

I imagine you are home
In your room, all alone
And you open your eyes into mine
And everything feels better

And right before your eyes
I'm breaking, no past
No reasons why
Just you and me

This is the last time I'm asking you this
Put my name at the top of your list
This is the last time I'm asking you why
You break my heart in the blink of an eye, eye, eye

You find yourself at my door
Just like all those times before
You wear your best apology
But I was there to watch you leave

And all the times I let you in
Just for you to go again
Disappear when you come back
Everything is better

And right before your eyes
I'm aching, no past
Nowhere to hide
Just you and me

This is the last time I'm asking you this
Put my name at the top of your list
This is the last time I'm asking you why
You break my heart in the blink of an eye, eye, eye

This is the last time you tell me I've got it wrong
This is the last time I say it's been you all along
This is the last time I let you in my door
This is the last time, I won't hurt you anymore

Oh, oh, oh

This is the last time I'm asking you this
Put my name at the top of your list
This is the last time I'm asking you why
You break my heart in the blink of an eye

This is the last time I'm asking you
Last time I'm asking you
Last time I'm asking you this
This is the last time I'm asking you
Last time I'm asking you
Last time I'm asking you this
This is the last time I'm asking you
Last time I'm asking you
Last time I'm asking you this
This is the last time I'm asking you
Last time I'm asking you
Last time I'm asking you this",Red (Deluxe Edition),Taylor Swift,2012-10-22,299013,61,0.505,0.035,0.443,3.15E-06,0.0906,-7.039,0.0276,0.123,94.069
Holy Ground,https://www.youtube.com/watch?v=S4PuN-IWi2g,"I was reminiscing just the other day
While having coffee all alone and Lord, it took me away
Back to a first-glance feeling on New York Time
Back when you fit in my poems like a perfect rhyme
Took off faster than a green light ""Go""
Hey, you skip the conversation when you already know
I left a note on the door with a joke we'd made
And that was the first day

And darling, it was good never looking down
And right there where we stood was holy ground

Spinning like a girl in a brand new dress
We had this big wide city all to ourselves
We blocked the noise with the sound of ""I need you""
And for the first time I had something to lose
And I guess we fell apart in the usual way
And the story's got dust on every page
But sometimes I wonder how you think about it now
And I see your face in every crowd

'Cause darling, it was good never looking down
And right there where we stood was holy ground

Tonight I'm gonna dance for all that we've been through
But I don't wanna dance if I'm not dancing with you
Tonight I'm gonna dance like you were in this room
But I don't wanna dance if I'm not dancing with you

It was good never looking down
And right there where we stood was holy ground

Tonight I'm gonna dance for all that we've been through
But I don't wanna dance if I'm not dancing with you
Tonight I'm gonna dance like you were in this room
But I don't wanna dance if I'm not dancing with you",Red (Deluxe Edition),Taylor Swift,2012-10-22,202960,61,0.627,0.0162,0.816,0.00208,0.0965,-6.698,0.0774,0.648,157.043
Sad Beautiful Tragic,https://www.youtube.com/watch?v=jQfB4Gahi3I,"Long handwritten note
Deep in your pocket
Words, how little they mean
When you're a little too late
I stood right by the tracks
Your face in a locket
Good girls, hopeful they'll be and long they will wait
We had a beautiful magic love there
What a sad beautiful tragic love affair
In dreams
I meet you in warm conversation
We both wake
In lonely beds
In different cities
And time
Is taking its sweet time erasing you
And you've got your demons
And darlin' they all look like me
'Cause we had a beautiful magic love there
What a sad beautiful tragic love affair
Distance, timing
Breakdown, fighting
Silence, the train runs off its tracks
Kiss me, try to fix it
Could you just try to listen?
Hang up, give up
For the life of us we can't get back
A beautiful magic love there
What a sad
Beautiful tragic
Beautiful tragic
Beautiful
What we had a beautiful magic love there (uh-uh)
What a sad beautiful tragic love affair
We had a beautiful magic love there
What a sad beautiful tragic love affair",Red (Deluxe Edition),Taylor Swift,2012-10-22,284866,59,0.624,0.632,0.34,0.0337,0.0805,-12.411,0.029,0.261,129.987
The Lucky One,https://www.youtube.com/watch?v=4LtQxA_ooLk,"New to town with a made-up name
In the angel's city, chasing fortune and fame
And the camera flashes make it look like a dream
You had it figured out since you were in school
Everybody loves pretty, everybody loves cool
So overnight, you look like a '60s queen
Another name goes up in lights
Like diamonds in the sky
And they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
But can you tell me now you're the lucky one?
Oh, oh, oh
Now it's big black cars and Riviera views
And your lover in the foyer doesn't even know you
And your secrets end up splashed on the news front page
And they tell you that you're lucky, but you're so confused
'Cause you don't feel pretty, you just feel used
And all the young things line up to take your place
Another name goes up in lights
You wonder if you'll make it out alive
And they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
Can you tell me now you're the lucky one?
Oh, oh, oh, oh-oh-oh-oh-oh, oh
Oh-oh-oh-oh-oh-oh-oh-oh-oh
It was a few years later, I showed up here
And they still tell the legend of how you disappeared
How you took the money and your dignity and got the hell out
They say you bought a bunch of land somewhere
Chose the Rose Garden over Madison Square
And it took some time, but I understand it now
'Cause now my name is up in lights
But I think you got it right
Let me tell you now, you're the lucky one
Let me tell you now, you're the lucky one
Let me tell you now, you're the lucky one
Oh, oh, oh
Yeah, they'll tell you now, you're the lucky one
Yeah, they'll tell you now, you're the lucky one
Let me tell you now, you're the lucky one
Oh, oh, oh
Oh, oh-oh, oh-oh",Red (Deluxe Edition),Taylor Swift,2012-10-22,240266,60,0.706,0.0371,0.499,0,0.132,-7.675,0.0369,0.545,117.937
Everything Has Changed,https://www.youtube.com/watch?v=w1oM3kQpXRo,"You good to go?
All I knew
This morning when I woke
Is I know something now
Know something now I didn't before
And all I've seen
Since eighteen hours ago
Is green eyes and freckles and your smile
In the back of my mind making me feel like
I just wanna know you better, know you better, know you better now
I just wanna know you better, know you better, know you better now
I just wanna know you better, know you better, know you better now
I just wanna know you, know you, know you
'Cause all I know is we said, ""Hello""
And your eyes look like comin' home
All I know is a simple name
And everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed
And all my walls
Stood tall painted blue
But I'll take 'em down, take 'em down
And open up the door for you
And all I feel
In my stomach is butterflies
The beautiful kind, makin' up for lost time
Takin' flight, makin' me feel like
I just wanna know you better, know you better, know you better now
I just wanna know you better, know you better, know you better now
I just wanna know you better, know you better, know you better now
I just wanna know you, know you, know you
'Cause all I know is we said, ""Hello""
And your eyes look like comin' home
All I know is a simple name
Everything has changed
All I know is you held the door
And you'll be mine and I'll be yours
All I know since yesterday
Is everything has changed
Come back and tell me why
I'm feelin' like I've missed you all this time
And meet me there tonight
And let me know that it's not all in my mind
I just wanna know you better, know you better, know you better now
I just wanna know you, know you, know you
All I know is we said, ""Hello""
Your eyes look like comin' home
All I know is a simple name
And everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed
All I know is we said, ""Hello""
So dust off your highest hopes
All I know is pouring rain
And everything has changed
All I know is a new found grace
All my days, I'll know your face
All I know since yesterday
Is everything has changed",Red (Deluxe Edition),Taylor Swift,2012-10-22,245413,62,0.624,0.36,0.458,3.89E-06,0.311,-6.755,0.0287,0.436,80.016
Starlight,https://www.youtube.com/watch?v=lPvcwgEuKTg,"I said, ""Oh my, what a marvelous tune""
It was the best night, never would forget how we moved
The whole place
Was dressed to the nines
And we were dancing, dancing
Like we're made of starlight
Like we're made of starlight
I met Bobby on the boardwalk summer of '45
Picked me up late one night out the window
We were seventeen and crazy running wild, wild
Can't remember what song he was playing when we walked in
The night we snuck into a yacht club party
Pretending to be a duchess and a prince
And I said, ""Oh my, what a marvelous tune""
It was the best night, never would forget how we moved
The whole place
Was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight
He said, ""Look at you, worrying so much about things you can't change
You'll spend your whole life singing the blues
If you keep thinking that way""
He was tryna to skip rocks on the ocean saying to me
""Don't you see the starlight, starlight
Don't you dream impossible things""
Like, ""Oh my, what a marvelous tune""
It was the best night, never would forget how we moved
The whole place
Was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight
Ooh, ooh he's talking crazy
Ooh, ooh dancing with me
Ooh, ooh we could get married
Have ten kids and teach 'em how to dream
""Oh, my what a marvelous tune""
It was the best night, never would forget how we moved
The whole place
Was dressed to the nines
And we were dancing, dancing
Like we're made of starlight, starlight
Like we're made of starlight, starlight
Like we're made of starlight, starlight
Like we dream impossible dreams
Like starlight, starlight
Like we dream impossible dreams
Don't you see the starlight, starlight
Don't you dream impossible things",Red (Deluxe Edition),Taylor Swift,2012-10-22,220600,58,0.649,0.0213,0.777,0.000335,0.21,-5.804,0.0406,0.587,126.018
Begin Again,https://www.youtube.com/watch?v=cMPEd8m79Hw,"Took a deep breath in the mirror
He didn't like it when I wore high heels
But I do
Turn the lock and put my headphones on
He always said he didn't get this song
But I do, I do
Walked in expecting you'd be late
But you got here early and you stand and wave
I walk to you
You pull my chair out and help me in
And you don't know how nice that is
But I do
And you throw your head back laughing
Like a little kid
I think it's strange that you think I'm funny, 'cause
He never did
I've been spending the last eight months
Thinking all love ever does
Is break and burn, and end
But on a Wednesday in a cafe
I watched it begin again
You said you never met one girl who had
As many James Taylor records as you
But I do
We tell stories and you don't know why
I'm coming off a little shy
But I do
But you throw your head back laughing
Like a little kid
I think it's strange that you think I'm funny, 'cause
He never did
I've been spending the last eight months
Thinking all love ever does
Is break and burn, and end
But on a Wednesday in a cafe
I watched it begin again
And we walked down the block, to my car
And I almost brought him up
But you start to talk about the movies
That your family watches every single Christmas
And I want to talk about that
And for the first time
What's past is past
'Cause you throw your head back laughing
Like a little kid
I think it's strange that you think I'm funny, 'cause
He never did
I've been spending the last eight months
Thinking all love ever does
Is break and burn, and end
But on a Wednesday in a cafe
I watched it begin again
But on a Wednesday in a cafe
I watched it begin again",Red (Deluxe Edition),Taylor Swift,2012-10-22,239426,60,0.53,0.199,0.526,3.52E-06,0.14,-8.349,0.0263,0.323,79.025
The Moment I Knew,https://www.youtube.com/watch?v=LmXn6BU16e0,"You should've been there
Should've burst through the door
With that ""Baby, I'm right here"" smile
And it would've felt like
A million little shining stars had just aligned
And I would've been so happy
Christmas lights glisten
I've got my eye on the door
Just waiting for you to walk in
But the time is ticking
People ask me how I've been
As I comb back through my memory
How you said you'd be here
You said you'd be here
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all laughing
As I'm looking around the room
But there was one thing missing
And that was the moment I knew
And the hours pass by
Now I just wanna be alone
But your close friends always seem to know
When there's something really wrong
So they follow me down the hall
And there in the bathroom
I try not to fall apart
And the sinking feeling starts
As I say hopelessly
""He said he'd be here""
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all laughing
And asking me about you
But there was one thing missing (missing, missing)
And that was the moment I knew
What do you say, when tears are streaming down your face
In front of everyone you know?
And what do you do when the one who means the most to you
Is the one who didn't show?
You should've been here
And I would've been so happy
And it was like slow motion
Standing there in my party dress
In red lipstick
With no one to impress
And they're all standing around me singing
""Happy birthday to you""
But there was one thing missing
And that was the moment I knew
Ooh, I knew
Ooh
You called me later
And said, ""I'm sorry, I didn't make it""
And I said, ""I'm sorry too""
And that was the moment I knew",Red (Deluxe Edition),Taylor Swift,2012-10-22,286613,58,0.619,0.187,0.506,1.47E-05,0.101,-7.327,0.0315,0.274,126.03
Come Back...Be Here,https://www.youtube.com/watch?v=hHWOAUjnmjQ,"You said it in a simple way
4:00 a.m. the second day
How strange that I don't know you at all
Stumbled through the long goodbye
One last kiss, then catch your flight
Right when I was just about to fall
I told myself, don't get attached
But in my mind, I play it back
Spinning faster than the plane that took you
And this is when the feeling sinks in
I don't wanna miss you like this
Come back, be here
Come back, be here
I guess you're in New York today
I don't wanna need you this way
Come back, be here
Come back, be here
The delicate beginning rush
The feeling you can know so much
Without knowing anything at all
And now that I can put this down
If I had known what I'd known now
I never would've played so nonchalant
Taxi cabs and busy streets
That never bring you back to me
I can't help but wish you took me with you
And this is when the feeling sinks in
I don't wanna miss you like this
Come back, be here
Come back, be here
I guess you're in London today
And I don't wanna need you this way
Come back, be here
Come back, be here
This is falling in love in the cruelest way
This is falling for you and you are worlds away
In New York, be here
But you're in London, and I break down
'Cause it's not fair that you're not around
This is when the feeling sinks in
I don't wanna miss you like this
Come back, be here
Come back, be here
I guess you're in New York today
And I don't wanna need you this way
Come back, be here
Come back, be here
Oh-oh, oh-oh
I don't wanna miss you like this
Oh-oh, oh-oh
Come back, be here
Come back, be here",Red (Deluxe Edition),Taylor Swift,2012-10-22,223920,60,0.483,0.00471,0.548,2.01E-06,0.0997,-6.291,0.0254,0.217,79.926
